id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2148350,Home in Ottawa · ★4.96 · 1 bedroom · 1 bed · 1 bath,10964947,Trevor,,College,45.34248,-75.78457,Entire home/apt,83,30,77,2023-03-17,0.71,3,231,1,
2316048,Home in Ottawa · 1 bedroom · 1 bed · 1 private bath,11774711,Arezou,,Gloucester-South Nepean,45.2804,-75.67309,Private room,79,30,2,2017-07-03,0.02,1,362,0,
2374455,Rental unit in Ottawa · ★4.72 · 1 bedroom · 1 bed · 1 bath,3201295,Greg And Valerie,,Kitchissippi,45.40387,-75.73097,Entire home/apt,105,30,17,2023-09-02,0.17,7,0,1,
2412859,Condo in Ottawa · ★4.75 · 1 bedroom · 1 bed · 1 bath,12331568,Marina,,Rideau-Vanier,45.43043,-75.68644,Entire home/apt,99,183,4,2016-05-07,0.04,1,173,0,
2453778,Condo in Ottawa · ★4.94 · Studio · 1 bed · 1 bath,12547161,Evaldo,,Somerset,45.41062,-75.69663,Entire home/apt,80,30,301,2023-11-12,2.54,1,298,5,
2474327,Guest suite in Ottawa · ★4.87 · 1 bedroom · 1 bed · 1 bath,12656347,Diem,,Capital,45.40874,-75.68044,Entire home/apt,104,1,189,2023-12-01,1.66,1,0,25,STR-825-662
2636201,Home in Ottawa · ★5.0 · 3 bedrooms · 3 beds · 3 baths,13498851,Bob & Kerri,,Kitchissippi,45.38724,-75.75444,Entire home/apt,604,5,4,2023-09-16,0.07,1,87,1,STR-826-227
2738455,Home in Ottawa · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,12671457,Mariya,,College,45.31617,-75.83931,Private room,57,1,45,2023-11-23,0.41,2,297,1,STR-837-665
2744294,Rental unit in Ottawa · ★4.94 · 3 bedrooms · 3 beds · 1.5 baths,8166549,Michael,,Kitchissippi,45.40154,-75.74731,Entire home/apt,,4,48,2023-09-24,0.42,1,0,6,STR-827-262
2756959,Home in Ottawa · ★5.0 · 3 bedrooms · 2 beds · 1.5 baths,2958872,Stefanie,,Rideau-Rockcliffe,45.43537,-75.64858,Entire home/apt,139,4,3,2023-08-02,0.53,1,4,3,STR-834-210
2863659,Home in Ottawa · ★5.0 · 3 bedrooms · 4 beds · 2 baths,14636855,Michael And Christine,,Capital,45.39051,-75.68277,Entire home/apt,,30,7,2018-07-29,0.06,1,0,0,
2949838,Home in Ottawa · ★4.46 · 1 bedroom · 1 bed · 1 bath,374659,Emma And Ed,,Rideau-Vanier,45.43029,-75.68937,Private room,67,1,812,2023-12-01,7.20,1,305,124,Exempt
3562417,Home in Ottawa · 3 bedrooms · 3 beds · 2 baths,17304359,Sylvie,,Rideau-Vanier,45.4317,-75.695,Entire home/apt,175,30,2,2014-10-27,0.02,1,0,0,
3622272,Rental unit in Ottawa · ★New · 1 bedroom · 1 bed · 1 bath,834817,Dominika,,Kitchissippi,45.38436325919392,-75.74794550717947,Entire home/apt,127,3,0,,,1,85,0,STR-837-975
3904169,Condo in Ottawa · ★4.60 · 2 bedrooms · 2 beds · 1.5 baths,20218425,Magda,,Somerset,45.41786,-75.68814,Entire home/apt,,30,30,2021-10-23,0.27,1,0,0,
3917038,Home in Ottawa · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,20290919,Cornelia,,Rideau-Vanier,45.43476,-75.68109,Private room,50,30,77,2023-10-24,0.68,1,236,3,
3929195,Townhouse in Ottawa · ★4.90 · 3 bedrooms · 4 beds · 1.5 baths,20355739,Irma,,Rideau-Vanier,45.43206,-75.6949,Entire home/apt,245,14,20,2023-07-14,0.18,1,180,2,STR-826-972
4183188,Rental unit in Ottawa · ★4.94 · 1 bedroom · 1 bed · 1 bath,21702498,Jane,,Rideau-Vanier,45.4399,-75.6684,Entire home/apt,85,30,33,2023-09-03,0.30,2,226,3,
4183253,Rental unit in Ottawa · ★4.85 · 2 bedrooms · 4 beds · 1 bath,19290752,Mojgan,,Rideau-Vanier,45.43196,-75.69057,Entire home/apt,200,7,236,2023-08-03,2.12,1,90,1,STR-827-304
4365973,Home in Ottawa · 1 bedroom · 2 beds · 1.5 shared baths,22663235,Denise,,Orleans,45.47531,-75.51104,Private room,65,30,2,2018-08-29,0.03,1,0,0,
4706926,Bed and breakfast in Ottawa · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,24328926,Fay,,Alta Vista,45.38657,-75.65642,Private room,90,30,49,2023-06-26,0.45,2,365,2,Exempt
4708131,Rental unit in Ottawa · 1 bedroom · 2 beds · 1 bath,24334093,Gillian,,Rideau-Vanier,45.4291,-75.6892,Entire home/apt,,30,2,2016-08-01,0.02,1,0,0,
4757549,Loft in Ottawa · ★4.90 · 1 bedroom · 1 bed · 1 bath,11105198,James,,Capital,45.39697,-75.68582,Entire home/apt,193,2,361,2023-11-27,3.33,1,74,28,STR-826-676
5117160,Home in Ottawa · ★4.92 · 1 bedroom · 1 bed · 2 shared baths,26444850,Brenda,,Kitchissippi,45.3821,-75.75683,Private room,28,30,61,2022-11-06,0.61,2,231,0,
