Player,Tm,vs,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Date
Collin Gillespie,DEN,@,OKC,W,5:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,+2,-0.1,2023-10-29
Mouhamed Gueye,ATL,@,MIL,W,3:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,-9,-0.1,2023-10-29
Kris Murray,POR,@,PHI,L,5:47,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,-8,-0.1,2023-10-29
Matisse Thybulle,POR,@,PHI,L,10:39,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,1,2,-14,-0.1,2023-10-29
Hunter Tyson,DEN,@,OKC,W,3:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,0,-0.1,2023-10-29
Keyontae Johnson,OKC,,DEN,L,5:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,-0.7,2023-10-29
Rayan Rupert,POR,@,PHI,L,4:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-7,-0.7,2023-10-29
Jeremy Sochan,SAS,@,LAC,L,22:29,0,2,.000,0,2,.000,0,0,,2,2,4,3,1,1,4,3,0,-30,-0.8,2023-10-29
Cam Reddish,LAL,@,SAC,L,4:50,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-7,-1.1,2023-10-29
Damian Lillard,MIL,,ATL,L,29:02,2,12,.167,2,8,.250,0,0,,1,3,4,5,2,0,6,2,6,-29,-1.3,2023-10-29
Aleksej Pokusevski,OKC,,DEN,L,14:17,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,1,2,1,1,-11,-1.5,2023-10-29
Skylar Mays,POR,@,PHI,L,4:39,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-7,-1.7,2023-10-29
Nicolas Batum,LAC,,SAS,W,14:42,0,4,.000,0,4,.000,0,0,,0,2,2,1,1,0,1,1,0,+6,-1.9,2023-10-29
Reggie Bullock,HOU,,GSW,L,6:02,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,1,0,-15,-2.5,2023-10-29
Scoot Henderson,POR,@,PHI,L,26:30,2,7,.286,0,4,.000,0,0,,0,1,1,3,0,1,4,5,4,-17,-3.0,2023-10-29
Bruno Fernando,ATL,@,MIL,W,4:41,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,1,0,-7,-3.1,2023-10-29
Austin Reaves,LAL,@,SAC,L,27:32,1,12,.083,1,8,.125,2,2,1.000,0,2,2,2,1,0,3,2,5,-12,-3.8,2023-10-29
Stephen Curry,GSW,@,NOP,W,30:02,15,22,.682,7,13,.538,5,7,.714,0,5,5,5,2,0,3,1,42,+13,35.4,2023-10-30
Dejounte Murray,ATL,,MIN,W,39:22,17,24,.708,3,5,.600,4,4,1.000,0,7,7,5,2,0,3,1,41,+25,35.2,2023-10-30
Nikola Jokić,DEN,,UTA,W,35:14,12,16,.750,1,3,.333,2,5,.400,1,9,10,11,0,2,1,3,27,+13,29.7,2023-10-30
Jaylen Brown,BOS,@,WAS,W,31:32,13,24,.542,8,13,.615,2,4,.500,0,6,6,2,3,1,0,3,36,+32,29.3,2023-10-30
Luka Dončić,DAL,@,MEM,W,40:00,11,22,.500,6,12,.500,7,10,.700,0,12,12,12,1,1,6,4,35,+6,28.9,2023-10-30
Anthony Davis,LAL,,ORL,W,38:12,12,18,.667,0,1,.000,2,3,.667,2,17,19,5,1,3,1,3,26,-2,28.7,2023-10-30
Tyler Herro,MIA,@,MIL,L,42:28,12,21,.571,2,5,.400,9,10,.900,1,7,8,3,1,0,3,1,35,-3,27.2,2023-10-30
Desmond Bane,MEM,,DAL,L,37:29,12,17,.706,3,7,.429,3,4,.750,2,4,6,3,3,0,2,3,30,0,27.0,2023-10-30
D'Angelo Russell,LAL,,ORL,W,36:22,10,14,.714,3,6,.500,5,5,1.000,0,2,2,8,1,1,3,4,28,+7,25.5,2023-10-30
Jayson Tatum,BOS,@,WAS,W,27:36,14,21,.667,4,9,.444,1,1,1.000,0,6,6,3,0,0,2,2,33,+27,25.0,2023-10-30
Jaren Jackson,MEM,,DAL,L,33:55,10,20,.500,3,6,.500,7,9,.778,2,7,9,4,0,2,1,3,30,-25,24.7,2023-10-30
Shai Gilgeous-Alexander,OKC,,DET,W,32:52,11,23,.478,1,3,.333,9,9,1.000,1,8,9,4,3,0,5,2,32,+17,23.4,2023-10-30
Giannis Antetokounmpo,MIL,,MIA,W,31:51,12,21,.571,1,3,.333,8,11,.727,1,6,7,2,0,1,2,3,33,+18,23.3,2023-10-30
Cam Thomas,BRK,@,CHO,W,37:59,10,17,.588,1,4,.250,12,14,.857,0,2,2,2,0,0,2,4,33,+8,22.7,2023-10-30
Anthony Edwards,MIN,@,ATL,L,37:47,13,21,.619,5,8,.625,0,1,.000,0,5,5,7,1,0,5,4,31,-9,21.9,2023-10-30
Nikola Vučević,CHI,@,IND,W,34:17,10,19,.526,0,1,.000,4,6,.667,5,12,17,3,1,0,1,3,24,0,21.9,2023-10-30
Lauri Markkanen,UTA,@,DEN,L,37:42,10,24,.417,5,13,.385,2,2,1.000,5,9,14,5,0,1,2,2,27,+3,21.8,2023-10-30
Walker Kessler,UTA,@,DEN,L,29:09,10,11,.909,0,0,,2,3,.667,3,10,13,0,0,1,2,4,22,-2,20.1,2023-10-30
Terry Rozier,CHO,,BRK,L,40:42,10,19,.526,2,6,.333,1,1,1.000,0,3,3,9,1,1,2,2,23,-13,19.8,2023-10-30
Mikal Bridges,BRK,@,CHO,W,37:44,10,13,.769,1,3,.333,3,3,1.000,1,6,7,4,1,1,5,3,24,+10,19.7,2023-10-30
Brandon Miller,CHO,,BRK,L,36:08,7,16,.438,2,5,.400,6,6,1.000,4,5,9,2,0,1,0,3,22,-4,18.8,2023-10-30
Tyrese Haliburton,IND,,CHI,L,36:06,6,16,.375,1,8,.125,6,7,.857,1,4,5,13,2,0,4,1,19,+2,18.4,2023-10-30
Damian Lillard,MIL,,MIA,W,35:02,7,14,.500,2,7,.286,9,11,.818,1,4,5,4,1,0,4,2,25,+2,18.1,2023-10-30
Bobby Portis,MIL,,MIA,W,18:37,7,10,.700,0,2,.000,2,2,1.000,2,6,8,2,2,1,0,3,16,+18,17.9,2023-10-30
Deandre Ayton,POR,@,TOR,W,32:01,5,9,.556,0,0,,0,0,,7,16,23,2,1,2,1,1,10,+7,17.8,2023-10-30
Rudy Gobert,MIN,@,ATL,L,30:41,3,7,.429,0,0,,8,11,.727,6,7,13,1,1,2,0,2,14,-13,17.7,2023-10-30
Trae Young,ATL,,MIN,W,35:00,9,22,.409,1,7,.143,5,5,1.000,0,1,1,8,1,0,1,1,24,+4,17.7,2023-10-30
Dorian Finney-Smith,BRK,@,CHO,W,31:15,7,12,.583,4,9,.444,1,2,.500,1,6,7,1,1,2,1,0,19,+5,17.6,2023-10-30
Jalen Williams,OKC,,DET,W,31:28,8,14,.571,1,3,.333,2,2,1.000,0,7,7,6,1,1,2,2,19,+13,17.6,2023-10-30
Eugene Omoruyi,WAS,,BOS,L,12:00,5,5,1.000,1,1,1.000,3,4,.750,3,3,6,1,1,1,0,0,14,+14,17.5,2023-10-30
Marcus Smart,MEM,,DAL,L,35:24,9,17,.529,5,10,.500,0,0,,1,4,5,9,3,0,6,6,23,-1,17.5,2023-10-30
Mark Williams,CHO,,BRK,L,23:13,8,8,1.000,0,0,,2,2,1.000,1,6,7,1,0,0,1,1,18,-7,17.4,2023-10-30
Derrick Jones,DAL,@,MEM,W,26:40,7,10,.700,4,6,.667,4,6,.667,0,4,4,0,0,0,1,0,22,+12,17.2,2023-10-30
Myles Turner,IND,,CHI,L,31:45,6,14,.429,3,8,.375,5,8,.625,2,9,11,3,0,2,1,2,20,-9,17.2,2023-10-30
Lonnie Walker,BRK,@,CHO,W,28:43,6,13,.462,3,7,.429,4,6,.667,0,5,5,4,1,1,0,1,19,+11,17.1,2023-10-30
Josh Giddey,OKC,,DET,W,28:24,9,18,.500,0,2,.000,3,5,.600,3,4,7,3,1,1,1,1,21,+10,16.9,2023-10-30
Ben Simmons,BRK,@,CHO,W,35:17,5,6,.833,0,0,,1,2,.500,3,7,10,8,0,1,2,1,11,+3,16.5,2023-10-30
Kyle Kuzma,WAS,,BOS,L,26:20,9,15,.600,3,6,.500,0,0,,0,5,5,4,0,0,2,0,21,-24,16.4,2023-10-30
Aaron Gordon,DEN,,UTA,W,33:12,10,12,.833,0,0,,1,4,.250,3,4,7,2,0,0,3,2,21,+8,16.3,2023-10-30
Jamal Murray,DEN,,UTA,W,36:55,7,19,.368,3,7,.429,1,2,.500,0,3,3,14,0,2,3,0,18,-5,16.2,2023-10-30
Gary Harris,ORL,@,LAL,L,21:00,6,6,1.000,5,5,1.000,0,0,,1,2,3,3,0,0,3,0,17,+4,15.6,2023-10-30
Jaden Ivey,DET,@,OKC,L,19:17,7,13,.538,4,6,.667,2,2,1.000,1,1,2,3,1,1,1,5,20,-4,15.5,2023-10-30
Chet Holmgren,OKC,,DET,W,24:02,4,5,.800,4,5,.800,2,2,1.000,0,4,4,3,2,4,3,5,14,+9,15.2,2023-10-30
Chris Paul,GSW,@,NOP,W,25:13,6,10,.600,1,5,.200,0,0,,0,6,6,5,2,0,1,0,13,+17,14.7,2023-10-30
De'Andre Hunter,ATL,,MIN,W,30:21,6,10,.600,3,5,.600,1,2,.500,0,4,4,2,1,0,0,0,16,+4,14.6,2023-10-30
Tim Hardaway,DAL,@,MEM,W,29:14,8,14,.571,3,7,.429,2,2,1.000,0,5,5,0,0,0,1,1,21,+6,14.5,2023-10-30
Gordon Hayward,CHO,,BRK,L,31:16,6,11,.545,2,2,1.000,1,1,1.000,0,0,0,5,2,1,0,4,15,-8,14.3,2023-10-30
Talen Horton-Tucker,UTA,@,DEN,L,29:30,7,12,.583,2,3,.667,0,0,,0,3,3,8,0,0,1,4,16,+2,14.3,2023-10-30
Scottie Barnes,TOR,,POR,L,37:21,8,19,.421,1,4,.250,3,3,1.000,4,8,12,2,2,1,4,3,20,+1,14.0,2023-10-30
Zach LaVine,CHI,@,IND,W,35:51,6,17,.353,1,6,.167,10,11,.909,0,5,5,1,0,0,1,1,23,+2,13.9,2023-10-30
Moses Moody,GSW,@,NOP,W,20:51,5,8,.625,2,5,.400,1,1,1.000,2,1,3,4,0,0,0,0,13,+18,13.9,2023-10-30
Trayce Jackson-Davis,GSW,@,NOP,W,19:50,5,9,.556,0,0,,3,4,.750,7,2,9,0,0,4,2,2,13,+11,13.8,2023-10-30
Jerami Grant,POR,@,TOR,W,37:07,8,18,.444,2,8,.250,4,4,1.000,1,5,6,0,1,1,2,2,22,+8,13.7,2023-10-30
Onyeka Okongwu,ATL,,MIN,W,24:15,3,3,1.000,0,0,,4,4,1.000,2,5,7,3,0,0,0,1,10,+22,13.7,2023-10-30
Jakob Poeltl,TOR,,POR,L,28:27,6,8,.750,0,0,,2,3,.667,5,5,10,1,0,1,2,3,14,-5,13.6,2023-10-30
Ausar Thompson,DET,@,OKC,L,30:36,6,14,.429,0,2,.000,3,4,.750,7,3,10,3,1,3,3,4,15,-13,13.6,2023-10-30
Markelle Fultz,ORL,@,LAL,L,32:59,7,16,.438,0,1,.000,0,0,,1,3,4,8,1,2,1,2,14,0,13.4,2023-10-30
CJ McCollum,NOP,,GSW,L,33:29,7,21,.333,2,8,.250,3,4,.750,2,4,6,5,1,0,0,1,19,-19,13.4,2023-10-30
Pascal Siakam,TOR,,POR,L,35:06,9,21,.429,0,6,.000,2,3,.667,1,5,6,3,1,0,0,1,20,-2,13.4,2023-10-30
Jalen Suggs,ORL,@,LAL,L,26:22,4,12,.333,3,7,.429,4,4,1.000,3,5,8,2,1,0,0,2,15,+10,13.4,2023-10-30
Kristaps Porziņģis,BOS,@,WAS,W,23:52,7,9,.778,1,2,.500,0,0,,0,6,6,3,0,1,2,2,15,+30,13.3,2023-10-30
DeMar DeRozan,CHI,@,IND,W,34:42,6,19,.316,0,1,.000,8,8,1.000,1,2,3,4,0,1,0,2,20,+15,13.1,2023-10-30
Karl-Anthony Towns,MIN,@,ATL,L,36:11,7,17,.412,1,3,.333,1,1,1.000,2,8,10,3,1,0,0,2,16,-8,13.0,2023-10-30
Marvin Bagley,DET,@,OKC,L,24:01,3,4,.750,0,0,,7,8,.875,1,3,4,1,0,0,0,1,13,0,12.9,2023-10-30
Jrue Holiday,BOS,@,WAS,W,26:42,4,7,.571,1,3,.333,2,2,1.000,1,4,5,3,1,2,1,1,11,+28,12.7,2023-10-30
Malcolm Brogdon,POR,@,TOR,W,29:24,9,21,.429,3,7,.429,0,1,.000,1,2,3,5,0,0,1,2,21,+9,12.5,2023-10-30
Jaden McDaniels,MIN,@,ATL,L,23:56,5,6,.833,2,2,1.000,0,0,,0,3,3,2,0,1,0,2,12,-8,12.0,2023-10-30
LeBron James,LAL,,ORL,W,32:47,7,17,.412,2,6,.333,3,4,.750,0,3,3,4,3,1,5,0,19,+5,11.9,2023-10-30
Orlando Robinson,MIA,@,MIL,L,26:01,4,7,.571,1,1,1.000,2,2,1.000,2,5,7,7,1,0,3,4,11,+4,11.9,2023-10-30
Grant Williams,DAL,@,MEM,W,31:12,4,8,.500,4,8,.500,3,4,.750,1,2,3,2,0,0,1,1,15,+18,11.9,2023-10-30
Jalen Johnson,ATL,,MIN,W,33:06,5,7,.714,1,2,.500,1,1,1.000,1,4,5,3,1,1,2,3,12,+19,11.6,2023-10-30
Tyus Jones,WAS,,BOS,L,26:32,5,9,.556,1,4,.250,0,0,,0,3,3,7,1,0,2,0,11,-31,11.5,2023-10-30
Jimmy Butler,MIA,@,MIL,L,28:43,4,11,.364,1,2,.500,4,4,1.000,2,2,4,4,0,1,1,0,13,-13,11.4,2023-10-30
P.J. Washington,CHO,,BRK,L,35:22,7,14,.500,1,3,.333,0,1,.000,3,9,12,2,0,0,1,4,15,-14,11.2,2023-10-30
Alec Burks,DET,@,OKC,L,21:06,4,9,.444,3,4,.750,0,0,,1,1,2,7,0,0,0,3,11,-9,11.0,2023-10-30
Jordan Hawkins,NOP,,GSW,L,35:01,6,13,.462,2,7,.286,0,2,.000,2,3,5,2,2,0,1,1,14,-14,10.8,2023-10-30
Brook Lopez,MIL,,MIA,W,29:23,5,9,.556,1,4,.250,0,0,,3,4,7,3,1,1,2,3,11,-10,10.6,2023-10-30
Ryan Rollins,WAS,,BOS,L,12:00,0,2,.000,0,0,,7,8,.875,1,0,1,3,4,0,1,1,7,+14,10.6,2023-10-30
Jonas Valančiūnas,NOP,,GSW,L,22:48,4,11,.364,1,5,.200,2,2,1.000,2,4,6,3,0,2,0,1,11,-17,10.6,2023-10-30
Saddiq Bey,ATL,,MIN,W,25:10,4,5,.800,3,3,1.000,0,0,,0,6,6,1,0,1,1,2,11,+17,10.5,2023-10-30
Franz Wagner,ORL,@,LAL,L,36:51,5,17,.294,2,7,.286,4,4,1.000,2,6,8,4,2,0,2,4,16,-2,10.5,2023-10-30
Derrick White,BOS,@,WAS,W,23:36,2,3,.667,1,2,.500,0,0,,1,0,1,8,2,1,2,1,5,+27,10.3,2023-10-30
Shaedon Sharpe,POR,@,TOR,W,38:13,4,10,.400,2,5,.400,4,4,1.000,2,3,5,3,1,2,4,3,14,+4,10.2,2023-10-30
Josh Green,DAL,@,MEM,W,34:16,5,10,.500,2,4,.500,0,0,,1,1,2,3,1,0,1,0,12,+4,10.1,2023-10-30
Dennis Schröder,TOR,,POR,L,32:00,4,10,.400,1,3,.333,1,1,1.000,0,1,1,8,1,0,1,1,10,+1,10.1,2023-10-30
Bruce Brown,IND,,CHI,L,36:57,6,12,.500,3,6,.500,0,0,,2,5,7,1,1,0,3,2,15,-13,9.8,2023-10-30
John Collins,UTA,@,DEN,L,34:01,7,16,.438,1,3,.333,0,3,.000,3,6,9,1,1,0,0,3,15,-5,9.8,2023-10-30
Duncan Robinson,MIA,@,MIL,L,21:59,6,10,.600,3,7,.429,0,0,,1,0,1,1,0,0,0,5,15,-1,9.8,2023-10-30
Kira Lewis,NOP,,GSW,L,16:04,4,6,.667,0,2,.000,3,4,.750,1,0,1,2,0,0,0,1,11,-13,9.7,2023-10-30
Ousmane Dieng,OKC,,DET,W,18:06,4,4,1.000,2,2,1.000,0,1,.000,1,0,1,2,0,0,1,0,10,-2,9.5,2023-10-30
Zion Williamson,NOP,,GSW,L,29:56,7,15,.467,0,1,.000,5,9,.556,3,2,5,3,2,0,5,5,19,-17,9.5,2023-10-30
Christian Braun,DEN,,UTA,W,30:01,4,8,.500,1,2,.500,0,0,,1,7,8,2,1,0,1,0,9,+6,9.2,2023-10-30
Killian Hayes,DET,@,OKC,L,27:22,4,11,.364,1,4,.250,1,2,.500,0,4,4,7,1,1,1,3,10,-15,9.1,2023-10-30
Day'Ron Sharpe,BRK,@,CHO,W,10:16,5,8,.625,0,0,,1,3,.333,4,4,8,1,0,1,1,5,11,+2,9.0,2023-10-30
Cameron Payne,MIL,,MIA,W,12:58,4,5,.800,3,4,.750,0,0,,1,0,1,0,0,0,1,0,11,+6,8.8,2023-10-30
Al Horford,BOS,@,WAS,W,15:31,4,9,.444,0,3,.000,0,0,,4,1,5,1,2,0,0,1,8,+4,8.7,2023-10-30
Deni Avdija,WAS,,BOS,L,22:13,4,10,.400,1,3,.333,2,2,1.000,2,5,7,1,1,0,0,4,11,-26,8.6,2023-10-30
Wendell Carter,ORL,@,LAL,L,35:13,4,8,.500,1,3,.333,1,2,.500,2,6,8,1,0,1,0,4,10,+2,8.6,2023-10-30
Kevon Looney,GSW,@,NOP,W,24:34,3,5,.600,0,0,,2,2,1.000,2,5,7,1,1,0,1,2,8,+19,8.5,2023-10-30
Matisse Thybulle,POR,@,TOR,W,18:52,3,4,.750,3,4,.750,0,0,,0,0,0,2,0,0,0,1,9,-5,8.4,2023-10-30
Cole Anthony,ORL,@,LAL,L,21:09,4,12,.333,1,3,.333,3,4,.750,0,3,3,2,3,0,1,2,12,-9,8.3,2023-10-30
Thomas Bryant,MIA,@,MIL,L,21:59,4,7,.571,0,1,.000,2,2,1.000,0,2,2,0,2,0,1,0,10,-12,8.3,2023-10-30
Zeke Nnaji,DEN,,UTA,W,12:46,2,2,1.000,0,0,,2,3,.667,1,2,3,0,2,0,0,0,6,-5,8.3,2023-10-30
Christian Wood,LAL,,ORL,W,26:29,3,6,.500,1,4,.250,2,4,.500,1,8,9,3,0,3,3,3,9,+12,8.3,2023-10-30
Jevon Carter,CHI,@,IND,W,17:37,5,7,.714,1,1,1.000,0,0,,0,1,1,2,1,1,3,1,11,+4,8.1,2023-10-30
Jordan Poole,WAS,,BOS,L,25:16,5,11,.455,1,5,.200,0,0,,2,1,3,2,3,1,3,3,11,-29,7.9,2023-10-30
Matt Ryan,NOP,,GSW,L,27:10,4,9,.444,3,7,.429,1,1,1.000,1,1,2,2,1,0,2,2,12,-17,7.9,2023-10-30
Patrick Williams,CHI,@,IND,W,22:21,3,6,.500,1,2,.500,2,2,1.000,0,4,4,0,1,1,1,0,9,-7,7.9,2023-10-30
David Roddy,MEM,,DAL,L,28:59,4,8,.500,0,1,.000,1,2,.500,1,4,5,2,0,1,0,2,9,-2,7.8,2023-10-30
Buddy Hield,IND,,CHI,L,18:57,4,12,.333,3,8,.375,0,0,,3,2,5,4,0,0,2,0,11,-2,7.7,2023-10-30
Dyson Daniels,NOP,,GSW,L,24:09,3,5,.600,1,2,.500,0,0,,0,4,4,3,0,0,0,1,7,-13,7.6,2023-10-30
Draymond Green,GSW,@,NOP,W,21:34,3,8,.375,0,2,.000,0,0,,1,5,6,7,0,1,1,2,6,+6,7.6,2023-10-30
Pat Connaughton,MIL,,MIA,W,22:31,3,5,.600,2,3,.667,0,0,,0,5,5,2,0,1,1,2,8,+5,7.5,2023-10-30
Jae Crowder,MIL,,MIA,W,25:20,3,7,.429,2,3,.667,0,0,,1,4,5,2,1,1,1,2,8,-11,7.5,2023-10-30
Kyle Lowry,MIA,@,MIL,L,27:48,3,6,.500,2,5,.400,0,0,,0,4,4,4,2,0,2,4,8,-11,7.4,2023-10-30
Gary Payton,GSW,@,NOP,W,20:09,4,10,.400,2,6,.333,0,0,,2,2,4,1,1,1,0,4,10,+17,7.4,2023-10-30
Dario Šarić,GSW,@,NOP,W,20:35,2,7,.286,1,4,.250,1,2,.500,4,6,10,2,0,1,0,2,6,+14,7.4,2023-10-30
Isaiah Stewart,DET,@,OKC,L,30:50,4,9,.444,2,3,.667,2,2,1.000,0,7,7,1,0,0,2,2,12,-7,7.3,2023-10-30
Gabe Vincent,LAL,,ORL,W,24:34,4,7,.571,1,3,.333,0,0,,0,0,0,2,1,0,0,2,9,+10,7.3,2023-10-30
Théo Maledon,CHO,,BRK,L,20:21,2,9,.222,0,5,.000,5,5,1.000,0,1,1,2,2,0,0,0,9,-3,7.2,2023-10-30
Kelly Olynyk,UTA,@,DEN,L,18:12,0,2,.000,0,2,.000,3,4,.750,2,2,4,5,3,0,1,4,3,-8,7.1,2023-10-30
Obi Toppin,IND,,CHI,L,23:51,2,5,.400,0,2,.000,2,2,1.000,2,6,8,0,1,0,0,1,6,+9,7.1,2023-10-30
Jaime Jaquez,MIA,@,MIL,L,22:42,3,9,.333,2,5,.400,0,0,,1,1,2,3,1,1,0,2,8,-7,6.9,2023-10-30
Bilal Coulibaly,WAS,,BOS,L,27:51,4,12,.333,1,6,.167,0,0,,2,3,5,1,1,2,1,0,9,-5,6.6,2023-10-30
Marcus Sasser,DET,@,OKC,L,14:02,2,4,.500,2,2,1.000,0,0,,0,2,2,2,1,0,0,1,6,-1,6.6,2023-10-30
Maxi Kleber,DAL,@,MEM,W,22:08,2,4,.500,1,3,.333,2,2,1.000,1,4,5,2,1,0,2,2,7,+7,6.5,2023-10-30
Bennedict Mathurin,IND,,CHI,L,27:34,4,11,.364,1,4,.250,6,6,1.000,1,3,4,0,0,0,2,5,15,-7,6.5,2023-10-30
Alex Caruso,CHI,@,IND,W,26:05,3,5,.600,1,2,.500,1,2,.500,1,3,4,3,0,1,3,1,8,+6,6.3,2023-10-30
Olivier Sarr,OKC,,DET,W,21:10,0,0,,0,0,,2,4,.500,1,8,9,1,0,3,0,2,2,+9,6.3,2023-10-30
Luguentz Dort,OKC,,DET,W,26:00,3,7,.429,1,4,.250,0,0,,0,2,2,0,2,1,0,1,7,+12,6.2,2023-10-30
Kyle Anderson,MIN,@,ATL,L,24:47,2,5,.400,0,2,.000,0,0,,1,1,2,5,2,1,2,1,4,-8,6.1,2023-10-30
Andre Drummond,CHI,@,IND,W,13:43,2,4,.500,0,0,,1,2,.500,2,1,3,2,1,0,1,0,5,+7,5.7,2023-10-30
Shake Milton,MIN,@,ATL,L,16:33,4,8,.500,2,2,1.000,0,0,,0,1,1,1,0,0,1,1,10,+2,5.6,2023-10-30
Nick Richards,CHO,,BRK,L,12:36,1,1,1.000,0,0,,2,2,1.000,0,2,2,1,1,2,1,2,4,-7,5.6,2023-10-30
OG Anunoby,TOR,,POR,L,30:14,4,12,.333,2,9,.222,0,0,,0,3,3,1,2,1,2,0,10,0,5.5,2023-10-30
Torrey Craig,CHI,@,IND,W,19:49,2,3,.667,1,1,1.000,0,0,,1,3,4,1,2,1,2,3,5,+5,5.5,2023-10-30
Scoot Henderson,POR,@,TOR,W,34:25,4,12,.333,0,6,.000,3,4,.750,0,4,4,7,2,0,4,6,11,+1,5.5,2023-10-30
Khris Middleton,MIL,,MIA,W,17:03,1,4,.250,0,2,.000,3,4,.750,0,2,2,5,1,0,1,2,5,+14,5.5,2023-10-30
Naz Reid,MIN,@,ATL,L,23:58,5,12,.417,3,7,.429,0,0,,0,1,1,0,0,0,1,1,13,-21,5.5,2023-10-30
Kentavious Caldwell-Pope,DEN,,UTA,W,33:16,3,5,.600,2,4,.500,0,0,,0,3,3,0,1,2,2,4,8,+11,5.4,2023-10-30
Austin Reaves,LAL,,ORL,W,31:19,5,12,.417,1,4,.250,0,0,,0,3,3,3,0,1,3,0,11,-14,5.3,2023-10-30
JT Thor,CHO,,BRK,L,18:37,3,6,.500,1,4,.250,0,0,,0,2,2,3,0,0,1,1,7,-1,5.3,2023-10-30
Royce O'Neale,BRK,@,CHO,W,31:50,3,8,.375,2,6,.333,0,0,,0,2,2,0,0,2,0,1,8,0,5.2,2023-10-30
Collin Sexton,UTA,@,DEN,L,16:51,5,10,.500,2,5,.400,0,0,,0,0,0,0,0,0,1,2,12,-10,5.2,2023-10-30
Coby White,CHI,@,IND,W,25:29,3,6,.500,1,2,.500,0,0,,0,2,2,3,1,0,1,4,7,+5,5.1,2023-10-30
Sam Hauser,BOS,@,WAS,W,25:08,3,10,.300,2,9,.222,0,0,,3,5,8,1,0,1,1,3,8,-10,5.0,2023-10-30
Dāvis Bertāns,OKC,,DET,W,12:51,1,2,.500,1,2,.500,3,3,1.000,0,1,1,0,0,0,0,1,6,+8,4.9,2023-10-30
Bogdan Bogdanović,ATL,,MIN,W,20:27,3,10,.300,2,7,.286,0,0,,0,1,1,4,1,0,1,1,8,+3,4.9,2023-10-30
Aaron Nesmith,IND,,CHI,L,27:19,1,4,.250,1,4,.250,2,2,1.000,0,4,4,3,0,2,0,6,5,-15,4.9,2023-10-30
Cade Cunningham,DET,@,OKC,L,35:27,5,15,.333,3,7,.429,4,5,.800,0,2,2,5,0,0,7,1,17,-14,4.8,2023-10-30
Jalen Smith,IND,,CHI,L,16:15,4,7,.571,0,2,.000,0,0,,0,2,2,0,1,1,1,3,8,+2,4.8,2023-10-30
Skylar Mays,POR,@,TOR,W,10:38,2,4,.500,1,3,.333,0,0,,0,0,0,1,1,0,0,0,5,+3,4.7,2023-10-30
Ziaire Williams,MEM,,DAL,L,33:05,3,8,.375,2,4,.500,0,0,,1,6,7,2,1,0,3,2,8,-21,4.7,2023-10-30
Isaiah Joe,OKC,,DET,W,19:36,3,6,.500,3,5,.600,0,0,,0,0,0,0,0,0,1,1,9,+2,4.6,2023-10-30
Chris Boucher,TOR,,POR,L,16:56,1,4,.250,0,0,,2,2,1.000,3,4,7,1,0,1,1,2,4,-3,4.5,2023-10-30
Jalen Duren,DET,@,OKC,L,23:19,4,11,.364,0,0,,0,1,.000,3,4,7,1,1,0,1,3,8,-8,4.3,2023-10-30
Larry Nance,NOP,,GSW,L,16:57,2,2,1.000,1,1,1.000,0,0,,2,3,5,2,0,0,3,2,5,-6,4.3,2023-10-30
Joe Ingles,ORL,@,LAL,L,12:02,1,2,.500,0,0,,0,0,,1,0,1,3,2,0,1,2,2,-2,4.0,2023-10-30
LaMelo Ball,CHO,,BRK,L,21:45,3,12,.250,0,6,.000,2,2,1.000,0,3,3,8,2,0,3,6,8,-3,3.9,2023-10-30
Peyton Watson,DEN,,UTA,W,15:01,2,4,.500,0,1,.000,1,2,.500,0,2,2,0,0,1,0,0,5,0,3.9,2023-10-30
Clint Capela,ATL,,MIN,W,22:34,0,3,.000,0,0,,2,2,1.000,1,4,5,1,0,5,1,3,2,-4,3.8,2023-10-30
Michael Porter,DEN,,UTA,W,18:36,3,8,.375,2,6,.333,0,0,,0,1,1,2,0,1,1,3,8,+2,3.8,2023-10-30
Cason Wallace,OKC,,DET,W,21:53,1,2,.500,0,1,.000,2,2,1.000,0,4,4,2,0,0,1,2,4,-2,3.8,2023-10-30
Svi Mykhailiuk,BOS,@,WAS,W,4:50,1,2,.500,1,2,.500,0,0,,0,0,0,1,1,0,0,0,3,+1,3.7,2023-10-30
Dwight Powell,DAL,@,MEM,W,12:14,0,0,,0,0,,0,0,,2,3,5,0,0,4,1,1,0,+10,3.7,2023-10-30
