Player,Tm,vs,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Date
Ivica Zubac,LAC,,SAS,W,22:29,6,7,.857,0,0,,4,6,.667,2,6,8,0,0,1,1,4,16,+23,14.0,2023-10-29
De'Anthony Melton,PHI,,POR,W,30:33,4,9,.444,1,2,.500,3,3,1.000,0,2,2,8,2,0,1,2,12,+27,13.7,2023-10-29
Chet Holmgren,OKC,,DEN,L,25:34,7,12,.583,1,4,.250,4,4,1.000,2,2,4,0,0,0,1,2,19,-23,13.6,2023-10-29
Malik Monk,SAC,,LAL,W,24:42,7,17,.412,4,9,.444,4,5,.800,1,2,3,3,0,0,2,1,22,0,13.5,2023-10-29
Klay Thompson,GSW,@,HOU,W,29:15,7,12,.583,5,10,.500,0,0,,1,3,4,0,0,1,1,3,19,-2,13.5,2023-10-29
Jalen Williams,OKC,,DEN,L,27:46,6,9,.667,0,1,.000,1,1,1.000,0,3,3,5,0,1,0,2,13,-21,13.4,2023-10-29
Malcolm Brogdon,POR,@,PHI,L,25:51,7,16,.438,2,6,.333,2,2,1.000,1,4,5,5,1,0,2,2,18,-6,13.2,2023-10-29
De'Andre Hunter,ATL,@,MIL,W,24:16,6,10,.600,2,4,.500,1,1,1.000,1,2,3,1,4,0,2,3,15,+17,13.2,2023-10-29
Saddiq Bey,ATL,@,MIL,W,30:59,4,9,.444,1,3,.333,4,5,.800,3,6,9,3,0,0,1,0,13,+23,12.9,2023-10-29
Clint Capela,ATL,@,MIL,W,23:02,5,10,.500,0,0,,2,2,1.000,2,10,12,1,1,0,0,1,12,+15,12.7,2023-10-29
Onyeka Okongwu,ATL,@,MIL,W,22:38,7,11,.636,0,2,.000,0,0,,4,3,7,2,1,0,1,4,14,+5,12.6,2023-10-29
Dejounte Murray,ATL,@,MIL,W,29:44,6,12,.500,1,5,.200,2,2,1.000,0,1,1,5,2,1,3,0,15,+26,12.5,2023-10-29
Shaedon Sharpe,POR,@,PHI,L,35:38,7,13,.538,2,4,.500,4,5,.800,1,4,5,2,0,0,3,3,20,-23,12.4,2023-10-29
Jabari Walker,POR,@,PHI,L,24:24,4,9,.444,1,3,.333,3,3,1.000,3,4,7,1,4,1,2,4,12,+5,12.4,2023-10-29
Malik Beasley,MIL,,ATL,L,31:38,6,12,.500,4,10,.400,2,4,.500,1,3,4,1,2,0,2,3,18,-26,12.3,2023-10-29
Christian Wood,LAL,@,SAC,L,13:50,3,3,1.000,2,2,1.000,3,3,1.000,0,5,5,1,0,0,0,0,11,+12,12.3,2023-10-29
Jalen Johnson,ATL,@,MIL,W,25:42,6,10,.600,2,3,.667,0,0,,1,6,7,1,2,1,2,4,14,+14,11.7,2023-10-29
Domantas Sabonis,SAC,,LAL,W,34:00,5,8,.625,1,1,1.000,1,3,.333,1,14,15,5,1,0,3,6,12,+5,11.6,2023-10-29
Taurean Prince,LAL,@,SAC,L,41:23,7,17,.412,5,13,.385,1,2,.500,0,3,3,2,0,1,1,3,20,-10,11.3,2023-10-29
Norman Powell,LAC,,SAS,W,19:06,5,11,.455,2,5,.400,1,2,.500,1,2,3,1,2,1,0,1,13,+8,11.2,2023-10-29
Cedi Osman,SAS,@,LAC,L,16:41,4,7,.571,2,4,.500,2,2,1.000,0,1,1,1,1,1,0,1,12,-5,11.0,2023-10-29
Robert Williams,POR,@,PHI,L,25:42,2,3,.667,0,0,,2,2,1.000,2,5,7,2,2,2,1,2,6,-6,10.6,2023-10-29
Rui Hachimura,LAL,@,SAC,L,17:16,3,6,.500,2,4,.500,3,4,.750,2,4,6,1,0,0,0,1,11,+9,10.5,2023-10-29
Tre Mann,OKC,,DEN,L,8:14,5,7,.714,1,2,.500,1,1,1.000,1,3,4,1,0,0,1,0,12,-5,10.4,2023-10-29
Brook Lopez,MIL,,ATL,L,20:25,5,11,.455,2,5,.400,1,1,1.000,1,2,3,1,1,0,0,0,13,-22,10.3,2023-10-29
Jalen Green,HOU,,GSW,L,38:05,8,20,.400,1,5,.200,4,5,.800,1,8,9,1,0,1,4,1,21,+4,9.9,2023-10-29
Kevin Huerter,SAC,,LAL,W,36:37,4,12,.333,3,7,.429,1,2,.500,0,7,7,4,0,2,0,3,12,+11,9.9,2023-10-29
Deandre Ayton,POR,@,PHI,L,20:37,3,7,.429,0,0,,1,1,1.000,2,7,9,2,2,1,0,3,7,-15,9.7,2023-10-29
Chris Paul,GSW,@,HOU,W,27:25,3,8,.375,0,3,.000,2,2,1.000,0,5,5,7,1,0,1,1,8,+22,9.6,2023-10-29
Cason Wallace,OKC,,DEN,L,21:56,3,3,1.000,1,1,1.000,0,0,,1,2,3,1,1,1,0,1,7,-11,9.4,2023-10-29
Aaron Gordon,DEN,@,OKC,W,23:05,4,7,.571,0,1,.000,1,3,.333,1,2,3,2,1,3,1,1,9,+22,9.3,2023-10-29
Bones Hyland,LAC,,SAS,W,21:20,7,14,.500,4,8,.500,0,0,,0,3,3,1,1,0,4,1,18,+10,9.2,2023-10-29
Jerami Grant,POR,@,PHI,L,27:54,5,16,.313,1,4,.250,6,7,.857,2,3,5,1,0,2,2,2,17,-29,9.0,2023-10-29
Kelly Oubre,PHI,,POR,W,25:45,3,10,.300,0,4,.000,6,6,1.000,1,2,3,0,2,1,1,1,12,-1,8.8,2023-10-29
Aleksandar Vezenkov,SAC,,LAL,W,18:21,4,10,.400,2,6,.333,1,1,1.000,0,4,4,1,0,1,0,0,11,-1,8.2,2023-10-29
Jae'Sean Tate,HOU,,GSW,L,21:41,2,6,.333,0,2,.000,2,2,1.000,2,6,8,1,2,2,1,2,6,-24,8.1,2023-10-29
Kevon Looney,GSW,@,HOU,W,26:50,2,3,.667,0,0,,1,2,.500,2,9,11,1,1,1,1,2,5,+5,8.0,2023-10-29
Charles Bassey,SAS,@,LAC,L,16:15,3,4,.750,0,0,,0,0,,1,4,5,1,1,1,0,2,6,+9,7.9,2023-10-29
Luguentz Dort,OKC,,DEN,L,20:43,3,7,.429,1,5,.200,3,3,1.000,1,0,1,0,1,1,0,2,10,-18,7.9,2023-10-29
Devin Vassell,SAS,@,LAC,L,27:49,6,10,.600,1,3,.333,1,1,1.000,0,1,1,0,1,0,2,2,14,-30,7.9,2023-10-29
Amen Thompson,HOU,,GSW,L,19:32,3,5,.600,1,2,.500,2,2,1.000,0,4,4,0,1,0,0,3,9,+2,7.7,2023-10-29
Dillon Brooks,HOU,,GSW,L,34:00,4,10,.400,2,5,.400,2,2,1.000,0,4,4,2,0,0,0,5,12,+2,7.2,2023-10-29
KJ Martin,LAC,,SAS,W,17:47,4,6,.667,1,3,.333,1,2,.500,0,2,2,0,1,1,2,1,10,+13,6.9,2023-10-29
A.J. Green,MIL,,ATL,L,5:37,2,2,1.000,2,2,1.000,1,1,1.000,0,1,1,0,0,0,0,0,7,+10,6.7,2023-10-29
Julian Strawther,DEN,@,OKC,W,7:34,3,5,.600,2,3,.667,0,0,,0,1,1,1,0,0,0,0,8,+4,6.7,2023-10-29
Dario Šarić,GSW,@,HOU,W,21:10,1,6,.167,1,3,.333,1,2,.500,3,5,8,5,0,1,1,0,4,+6,6.6,2023-10-29
